start_time,end_time,source_host,source_port,receiver_host,receiver_port,bytes_transferred,bytes_received
1657267805000,1657267805000,192.168.137.250,55026,91.105.192.100,443,930,55865
1657267805000,1657267805000,192.168.137.250,55009,149.154.175.53,443,706,819
1657267805000,1657267805000,192.168.137.250,55025,149.154.167.151,443,345,85093
1657267804000,1657267805000,192.168.137.250,55045,149.154.167.151,443,779,263179
1657267802000,1657267805000,192.168.137.250,55014,8.8.4.4,443,939,6561
1657267802000,1657267805000,192.168.137.250,55049,108.177.14.103,443,928,6790
1657267802000,1657267805000,192.168.137.250,55041,188.114.98.128,443,979,4508
1657267804000,1657267805000,192.168.137.250,55043,95.161.76.100,443,217,89
1657267804000,1657267805000,192.168.137.250,55033,95.161.76.100,443,3770,57511
1657267802000,1657267805000,192.168.137.250,55008,88.221.132.139,443,870,6505
1657267802022,1657267802022,192.168.137.250,55002,192.168.137.1,53,37,339
1657267802022,1657267802022,192.168.137.250,55000,192.168.137.1,53,37,341
1657267802656,1657267802656,192.168.137.250,55047,192.168.137.1,53,32,92
1657267802022,1657267802022,192.168.137.250,55012,192.168.137.1,53,43,558
1657267802609,1657267802609,192.168.137.250,55018,192.168.137.1,53,42,131
1657267802022,1657267802022,192.168.137.250,55004,192.168.137.1,53,27,52
1657267802556,1657267802556,192.168.137.250,55036,192.168.137.1,53,44,86
1657267802822,1657267802822,192.168.137.250,55058,192.168.137.1,53,36,118
1657267802555,1657267802555,192.168.137.250,55034,192.168.137.1,53,44,149
1657267802515,1657267802515,192.168.137.250,55023,192.168.137.1,53,60,596
1657267802754,1657267802754,192.168.137.250,55055,192.168.137.1,53,35,118
1657267802554,1657267802554,192.168.137.250,55039,192.168.137.1,53,32,92
1657267802022,1657267802022,192.168.137.250,55006,192.168.137.1,53,41,124
1657267802754,1657267802754,192.168.137.250,55050,192.168.137.1,53,35,163
1657267802566,1657267802566,192.168.137.250,55017,192.168.137.1,53,36,178
1657267802566,1657267802566,192.168.137.250,55019,192.168.137.1,53,36,412
1657267802552,1657267802552,192.168.137.250,55037,192.168.137.1,53,32,92
1657267802543,1657267802543,192.168.137.250,55035,8.8.8.8,53,32,0
1657267802029,1657267802029,192.168.137.250,55011,192.168.137.1,53,62,138
1657267802500,1657267802500,192.168.137.250,55024,192.168.137.1,53,32,106
1657267802496,1657267802496,192.168.137.250,55021,192.168.137.1,53,32,212
1657267802022,1657267802022,192.168.137.250,55010,192.168.137.1,53,43,271
